전철역코드,외부코드,전철역명,호선,정류장명,정류장ID,X좌표,Y좌표
1458,443,금정,4,산본1동,40059,194894,430425
1458,443,금정,4,산본1동,40066,194925,430433
427,427,숙대입구,4,숙대입구역,3010,197547,449365
420,420,혜화,4,혜화역동성중고(장면총리가옥),1229,200153,453894
416,416,미아사거리,4,미아삼거리역,9260,202625,457315
429,429,신용산,4,신용산역,3004,197050,447608
418,418,성신여대입구,4,돈암사거리성신여대입구,8008,201576,454865
416,416,미아사거리,4,미아삼거리역,9012,202668,457038
431,431,동작,4,국립현충원,20231,197960,444836
431,431,동작,4,국립현충원,20230,197928,444810
421,421,동대문,4,동대문,1261,201091,452481
1458,443,금정,4,산본1동,40064,194907,430476
433,433,사당,4,사당역,22241,198416,442143
422,422,동대문역사문화공원,4,동대문운동장,2235,200805,451768
417,417,길음,4,길음시장,8245,202083,455941
419,419,한성대입구,4,삼선교한성대학교,8010,200740,454421
419,419,한성대입구,4,삼선교성북문화원,8236,200472,454368
410,410,상계,4,상계벽산아파트,11240,206479,462400
411,411,노원,4,노원역9번출구,11210,205469,461836
417,417,길음,4,돈암1동주민센터,8125,202347,456029
417,417,길음,4,길음역,8124,202109,455837
417,417,길음,4,돈암1동주민센터,8126,202356,456114
433,433,사당,4,사당역,21161,198352,441796
422,422,동대문역사문화공원,4,동대문운동장,2173,200739,451984
411,411,노원,4,노원역1번출구,11211,205599,461842
431,431,동작,4,국립현충원,20134,197936,444864
429,429,신용산,4,신용산역,3254,197123,447790
419,419,한성대입구,4,한성대입구,8239,200639,454397
411,411,노원,4,와우패션클럽,11213,205636,461735
1458,443,금정,4,금정역,40060,194890,430248
414,414,수유,4,수유역강북웨딩홀,9248,202378,459937
423,423,충무로,4,초동,2155,199392,451539
429,429,신용산,4,신용산역,3003,197013,447534
427,427,숙대입구,4,남영우체국,3208,197636,449517
427,427,숙대입구,4,숙대입구,3129,197373,449550
427,427,숙대입구,4,숙대입구역,3128,197419,449546
409,409,당고개,4,흥안운수종점,11224,207139,463353
415,415,미아,4,미아역신일중고,9007,202353,458367
410,410,상계,4,상계역,11393,206451,462212
410,410,상계,4,상계역,11233,206353,462292
417,417,길음,4,돈암동삼성아파트입구,8123,202170,455815
1454,439,정부과천청사,4,정부과천청사,37018,199133,436321
433,433,사당,4,사당역,22242,198423,441675
427,427,숙대입구,4,갈월동4호선숙대입구,3327,197491,449644
1751,444,산본,4,1단지앞,40102,194355,428631
1458,443,금정,4,산본1동,40065,194877,430469
1458,443,금정,4,금정역,40070,194882,430273
417,417,길음,4,미아시장,8248,202301,456182
1450,435,선바위,4,선바위역,37023,200071,439101
1455,440,인덕원,4,인덕원사거리인덕원역,56044,197926,433471
426,426,서울,4,서울역,2649,197558,450628
421,421,동대문,4,청계6가버들다리,1252,200711,452270
424,424,명동,4,명동입구,2150,198690,451276
418,418,성신여대입구,4,돈암시장입구,8305,201461,454719
434,434,남태령,4,남태령역,21163,198857,440855
1763,445,수리산,4,5단지입구도장파출소앞,40110,193463,427960
410,410,상계,4,상계중앙시장입구,11222,206257,462102
1453,438,과천,4,과천도서관,37016,199534,436886
411,411,노원,4,상계주공6단지,11255,205396,461511
410,410,상계,4,상계역,11392,206450,462182
430,430,이촌,4,이촌역,3263,197826,446975
1455,440,인덕원,4,인덕원사거리인덕원역,56037,197822,433711
1455,440,인덕원,4,인덕원사거리인덕원역,56610,198013,433713
418,418,성신여대입구,4,삼선동주민센터,8176,201300,454575
412,412,창동,4,창동역서측,10234,204071,461417
412,412,창동,4,창동역서측,10233,204090,461421
426,426,서울,4,남대문경찰서,2218,197748,450461
1454,439,정부과천청사,4,과천전화국,37002,199273,436584
432,432,총신대입구(이수),4,사당1동중앙시장앞,20185,198249,442827
426,426,서울,4,숭례문시청방향,2123,197677,450942
423,423,충무로,4,매일경제,2242,199414,451345
413,413,쌍문,4,쌍문역,10126,203020,460864
1751,444,산본,4,주공12단지,40101,194339,428612
1751,444,산본,4,군포시청,40139,194088,428975
411,411,노원,4,롯데백화점노원점,11212,205490,461691
413,413,쌍문,4,쌍문역,10124,203010,460938
411,411,노원,4,도봉면허시험장,11185,205296,461965
422,422,동대문역사문화공원,4,동대문운동장,2174,200779,451973
422,422,동대문역사문화공원,4,을지로6가,2169,200565,451843
414,414,수유,4,수유역강북구청,9249,202212,459791
420,420,혜화,4,혜화역마로니에공원,1220,200203,453512
426,426,서울,4,서울역,2643,197557,450603
419,419,한성대입구,4,삼선교성북문화원,8237,200513,454386
430,430,이촌,4,이촌동한강맨션,3218,197602,446738
432,432,총신대입구(이수),4,태평백화점이수역,20226,198424,443277
412,412,창동,4,창동역동측도봉방면,10266,204405,461550
419,419,한성대입구,4,한성대입구,8238,200677,454376
428,428,삼각지,4,삼각지역,3328,197751,448533
418,418,성신여대입구,4,성신여대입구,8270,201449,454884
410,410,상계,4,벽산아파트후문,11242,206367,462496
432,432,총신대입구(이수),4,태평백화점이수역,20138,198404,443056
432,432,총신대입구(이수),4,방배경찰서,20139,198392,442796
1763,445,수리산,4,5단지입구,40111,193484,427934
426,426,서울,4,서울역,2243,197545,450628
418,418,성신여대입구,4,돈암시장입구,8306,201478,454709
417,417,길음,4,길음역,8336,202153,455865
427,427,숙대입구,4,남영동,3109,197570,449410
431,431,동작,4,국립현충원,20133,197960,444778
432,432,총신대입구(이수),4,이수역,22267,198458,443154
421,421,동대문,4,동대문,1214,200744,452469
1454,439,정부과천청사,4,과천전화국,37017,199305,436573
414,414,수유,4,수유역강북구청,9004,202227,459768
417,417,길음,4,미아시장,8247,202335,456169
426,426,서울,4,서울역,2119,197470,450945
1457,442,범계,4,범계역,56022,195590,432315
1457,442,범계,4,범계역,56023,195560,432343
413,413,쌍문,4,쌍문역,10015,203069,461026
413,413,쌍문,4,쌍문역,10016,203042,460943
429,429,신용산,4,신용산역,3253,197152,447837
426,426,서울,4,서울역,2245,197544,450604
434,434,남태령,4,남태령역,21608,198935,440638
423,423,충무로,4,대한극장앞,2153,199551,451304
1763,445,수리산,4,수리산역,40119,193425,427812
423,423,충무로,4,퇴계로3가한옥마을한국의집,2151,199270,451303
410,410,상계,4,벽산아파트103동,11243,206337,462347
423,423,충무로,4,퇴계로3가한옥마을한국의집,2152,199336,451265
416,416,미아사거리,4,미아삼거리역,9011,202643,457134
1751,444,산본,4,군포시청,40100,194144,428946
432,432,총신대입구(이수),4,사당1동중앙시장앞,20184,198288,442818
420,420,혜화,4,혜화역서울연극센터(장면총리가옥),1228,200113,453879
420,420,혜화,4,혜화역서울대병원입구,1221,200173,453506
425,425,회현,4,회현역,2667,197947,450918
424,424,명동,4,명동역,2669,198946,451304
415,415,미아,4,미아역신일중고,9253,202255,458645
416,416,미아사거리,4,미아삼거리역,9261,202693,456915
425,425,회현,4,남대문시장,2146,198032,450922
424,424,명동,4,명동입구,2149,198817,451255
410,410,상계,4,상계5동새마을금고,11460,206305,462412
1458,443,금정,4,금정역,40092,194990,430168
416,416,미아사거리,4,미아삼거리,9739,202689,457037
417,417,길음,4,길음시장,8246,202040,455957
417,417,길음,4,길음뉴타운,8004,202092,455960
1450,435,선바위,4,선바위역,37027,200106,439207
416,416,미아사거리,4,롯데백화점미아점,9277,202714,457233
412,412,창동,4,창동역동측,10265,204375,461576
429,429,신용산,4,용산역,3119,197062,447643
415,415,미아,4,미아역신일중고,9254,202350,458467
429,429,신용산,4,용산역,3255,197031,447783
430,430,이촌,4,이촌역,3264,197732,446975
427,427,숙대입구,4,남영우체국,3209,197604,449532
427,427,숙대입구,4,숙대입구,3330,197396,449452
421,421,동대문,4,청계6가오간수교,2241,200799,452221
1454,439,정부과천청사,4,정부과천청사,37006,199106,436349
427,427,숙대입구,4,숙대입구역,3009,197574,449314
428,428,삼각지,4,삼각지역,3008,197717,448503
430,430,이촌,4,신용산초등학교,3219,197756,446705
425,425,회현,4,남대문시장악세사리전문상가,2124,197899,451014
426,426,서울,4,서울역,2665,197603,450926
424,424,명동,4,서울애니메이션센터숭의여대,2221,198897,451015
1458,443,금정,4,금정역,40090,194985,430270
1453,438,과천,4,과천도서관,37004,199523,436930
422,422,동대문역사문화공원,4,광희동,2170,200638,451728
418,418,성신여대입구,4,돈암사거리성신여대입구,8007,201602,454913
417,417,길음,4,길음뉴타운,8003,202135,456010
414,414,수유,4,수유역강북구청,9272,202299,459894
428,428,삼각지,4,삼각지역,3007,197704,448423
1455,440,인덕원,4,인덕원사거리인덕원역,56035,197845,433743
429,429,신용산,4,용산역광장앞,3258,196999,447715
414,414,수유,4,수유역강북구청,9003,202129,459676
425,425,회현,4,남대문시장,2249,197933,450912
427,427,숙대입구,4,숙대입구역,3229,197426,449430
426,426,서울,4,서울역,3198,197684,450454
426,426,서울,4,서울역,2673,197552,450619
418,418,성신여대입구,4,성신여대입구,8269,201435,454875
410,410,상계,4,상계역,11391,206561,462454
421,421,동대문,4,동대문,1237,200989,452490
414,414,수유,4,수유3동우체국,9246,202433,460049
414,414,수유,4,강북구청,9146,202296,460086
432,432,총신대입구(이수),4,이수역,22344,198457,443101
422,422,동대문역사문화공원,4,광희동,2171,200710,451738
1763,445,수리산,4,수리산역,40609,193435,427715
434,434,남태령,4,전원마을,22623,198962,440714
425,425,회현,4,남대문시장,2145,198036,450976
409,409,당고개,4,흥안운수종점,11225,207122,463360
